Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"5/10/20, 23:49",Module Leader,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '78727' viewed the course with id '7102'.,web,2.24.164.84
"5/10/20, 22:44",First Student,-,External tool: Introduction to Language and Linguistics/Part 4,External tool,Course module viewed,The user with id '746567' viewed the 'lti' activity with course module id '2365463'.,web,144.82.8.78
"5/10/20, 22:44",First Student,-,External tool: Introduction to Language and Linguistics/Part 3,External tool,Course module viewed,The user with id '746567' viewed the 'lti' activity with course module id '2365453'.,web,144.82.8.78
"5/10/20, 22:41",Module Leader,-,Forum (Advanced): Discussion Forum (anonymous if you prefer) (copy),Forum (Advanced),Discussion viewed,The user with id '78727' has viewed the discussion with id '41874' in the forum with the course module id '2262967'.,web,2.24.164.84
"5/10/20, 22:40",Module Leader,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '78727' viewed the course with id '7102'.,web,2.24.164.84
"5/10/20, 22:12",First Student,-,External tool: Introduction to Language and Linguistics/Part 2,External tool,Course module viewed,The user with id '746567' viewed the 'lti' activity with course module id '2347846'.,web,144.82.8.78
"5/10/20, 22:12",First Student,-,External tool: Introduction to Language and Linguistics/Part 1,External tool,Course module viewed,The user with id '746567' viewed the 'lti' activity with course module id '2347816'.,web,144.82.8.78
"5/10/20, 21:58",First Student,First Student,External tool: Introduction to Language and Linguistics/Part 1,System,Course activity completion updated,The user with id '746567' updated the completion state for the course module with id '2347816' for the user with id '746567'.,web,144.82.8.78
"5/10/20, 21:42",First Student,-,External tool: Introduction to Language and Linguistics/Part 1,External tool,Course module viewed,The user with id '746567' viewed the 'lti' activity with course module id '2347816'.,web,144.82.8.78
"5/10/20, 21:42",First Student,First Student,"External tool: Assessment, Moodle navigation and how to stay in touch",System,Course activity completion updated,The user with id '746567' updated the completion state for the course module with id '2348178' for the user with id '746567'.,web,144.82.8.78
"5/10/20, 21:41",First Student,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '746567' viewed the course with id '7102'.,web,144.82.8.78
"5/10/20, 21:24",First Student,-,"External tool: Assessment, Moodle navigation and how to stay in touch",External tool,Course module viewed,The user with id '746567' viewed the 'lti' activity with course module id '2348178'.,web,144.82.8.78
"5/10/20, 21:24",First Student,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '746567' viewed the course with id '7102'.,web,144.82.8.78
"5/10/20, 21:23",First Student,First Student,External tool: Welcome to Core Issues in Linguistics,System,Course activity completion updated,The user with id '746567' updated the completion state for the course module with id '2347790' for the user with id '746567'.,web,144.82.8.78
"5/10/20, 21:09",First Student,-,External tool: Welcome to Core Issues in Linguistics,External tool,Course module viewed,The user with id '746567' viewed the 'lti' activity with course module id '2347790'.,web,144.82.8.78
"5/10/20, 21:08",First Student,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '746567' viewed the course with id '7102'.,web,144.82.8.78
"5/10/20, 21:02",First Student,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '746567' viewed the course with id '7102'.,web,144.82.8.78
"5/10/20, 21:02",First Student,-,Forum (Advanced): Discussion Forum (anonymous if you prefer) (copy),Forum (Advanced),Discussion viewed,The user with id '746567' has viewed the discussion with id '41874' in the forum with the course module id '2262967'.,web,144.82.8.78
"5/10/20, 21:01",First Student,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '746567' viewed the course with id '7102'.,web,144.82.8.78
"5/10/20, 20:52",First Student,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '746567' viewed the course with id '7102'.,web,144.82.8.78
"5/10/20, 19:37",First Student,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '746567' viewed the course with id '7102'.,web,144.82.8.78
"5/10/20, 18:22",Module Leader,-,Forum: Announcements,Forum,Discussion viewed,The user with id '78727' has viewed the discussion with id '420408' in the forum with course module id '117432'.,web,2.24.164.84
"5/10/20, 18:22",Module Leader,-,Forum: Announcements,Forum,Course module viewed,The user with id '78727' viewed the 'forum' activity with course module id '117432'.,web,2.24.164.84
"5/10/20, 18:22",Module Leader,-,Forum: Announcements,Forum,Discussion created,The user with id '78727' has created the discussion with id '420408' in the forum with course module id '117432'.,web,2.24.164.84
